"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para BRASIL  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1. Floresta Natural";"1.2. Floresta Plantada";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"2.5. Outra Formação não Florestal";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
" ";"1.1. Floresta Natural";"1.2. Floresta Plantada";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"2.5. Outra Formação não Florestal";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.6734103792286027;0.0014365502261564531;2.3126498143409767e-05;0.00945050771793506;0.005435672306497884;0.02470397624134425;0.0010084028983015233;0.0;0.000155230713483429;0.0006785588901684159;0.7163024047206331;0.7163024047206331;-0.012145610995444346;0.9401202268631821;0.0026569546704470304;0.059879773136817915;0.012145610995444533
"1.2. Floresta Plantada";0.000359757207820241;0.0023287870391615903;0.0;1.3481729131277599e-05;0.0;0.00011781844163557201;0.0;0.0;0.0;0.0;0.002819844417748681;0.002819844417748681;0.0015735513832636403;0.8258565701368932;0.025752989749720186;0.17414342986310682;0.0015735513832636403
"2.1. Área Úmida Natural não Florestal";0.00018280573327552452;0.0;0.0028204791822257214;0.000226965122492983;0.00013570457107910192;7.149739813037457e-05;0.0;0.0;6.344577695944272e-06;8.405591930989625e-06;0.003452202176830639;0.003452202176830639;0.0004702563457948829;0.8170086911929114;0.035535432195282615;0.18299130880708858;0.0004702563457948841
"2.2. Formação Campestre (Campo)";0.012138222917026669;7.836932984829464e-05;0.0007458573114348573;0.04761287784674936;2.5592737965649363e-06;0.006615760079234227;0.0006031231010162495;0.0;4.17119146462023e-05;0.0003708032977102069;0.06820928507146264;0.06820928507146264;-0.0025057035649213057;0.6980410041956251;0.010097190635784202;0.3019589958043749;0.00250570356492133
"2.5. Outra Formação não Florestal";9.903240445833594e-06;0.0;0.0;1.1428053559710042e-05;0.00011947345000984713;4.803055374548681e-05;0.0;0.0;0.0;0.0;0.00018883529776087758;0.00018883529776087758;0.007189350628351893;0.6326860042932045;0.06595280449619317;0.36731399570679546;0.0071893506283519
"3.1. Pastagem";0.010901203472198322;0.0003147139161874745;0.0;0.003181635104801878;0.0010083022837150263;0.12017182130566878;0.0034931117685331656;0.0;0.0004544998839034945;2.0093193263087004e-05;0.13954538092827126;0.13954538092827126;0.017275284014766985;0.8611666004727105;0.00829865445268318;0.13883339952728946;0.017275284014766967
"3.2. Agricultura";0.0005471230036701759;4.112462973560681e-05;4.671475543354533e-05;0.0034007694095876556;0.0;0.005008493017819331;0.01820423477876593;0.0;2.584984104931201e-05;0.0;0.027274309436061555;0.027274309436061555;-0.003957444084180669;0.667449888014273;0.013281212830531885;0.33255011198572704;0.003957444084180677
"3.3 Mosaico de Agricultura ou Pastagem";0.006323899985503832;0.00019385065992290202;0.0;0.0017082794161404433;0.00035534236067885676;0.0;0.0;0.01761102710377007;0.000515963468973487;0.00011279917947625148;0.02682116217446584;0.02682116217446584;-0.009210135070695784;0.6566093963122904;0.012043967272796205;0.3433906036877096;0.00921013507069577
"4.1. Infraestrutura Urbana";1.3976234125377502e-05;0.0;0.0;0.0;9.417087523093094e-06;5.506205984022644e-05;0.0;0.0;0.0020833994601347394;0.0;0.0021618548416234363;0.0021618548416234363;0.0011211450182631723;0.9637092278453898;0.027319676609470954;0.036290772154610185;0.0011211450182631723
"5.1. Rio, Lago e Oceano";0.0002695227025200608;0.0;0.0002862807753879886;9.76371061429454e-05;0.0003117145928124018;2.8205845620005607e-05;7.992805264008832e-06;0.0;0.0;0.012223367107361762;0.013224720935109173;0.013224720935109173;0.00018930632480154003;0.9242816666861375;0.020547968950758208;0.07571833331386246;0.00018930632480154003
"total";0.7041567937251886;0.004393395801012321;0.003922458522625523;0.0657035815065413;0.007378185926112777;0.15682066494303823;0.023316865351880878;0.01761102710377007;0.0032829998598866085;0.013414027259910713;0.9999999999999999;0.9999999999999999;0;0.8965858465024522;0.004973764647384845;0.10341415349754779;0.027818893715242207
"adj population";0.7041567937252214;0.004393395801012319;0.0039224585226255194;0.06570358150654154;0.007378185926112771;0.1568206649430382;0.023316865351880812;0.017611027103770053;0.003282999859886609;0.013414027259910722;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.860237341452247e-18;1.1468509486319341e-17;1.1177285257478514e-17;3.3241741004551862e-18;9.978342651625174e-18;2.2464174123554e-18;5.066072172267432e-18;5.6105894630899614e-18;1.385744420260478e-17;8.183978034583165e-18;7.27730501222312e-17;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.9563358405818576;0.5300653855555179;0.7190590202437157;0.7246618335715717;0.016192794706759613;0.7663009294681834;0.7807325085958626;1.0;0.6346023603566945;0.9112376820563524;0.8965858465024517;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.0027565560997593473;0.015703485164799642;0.03158457982204166;0.010642591914175017;0.001388703459203985;0.007267467708927575;0.01576145901413078;0.019082671260146893;0.016711903176908273;0.02006555498401187;0.0050107185068645945;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9972434439002407;0.9842965148352003;0.9684154201779583;0.989357408085825;0.9986112965407961;0.9927325322910724;0.9842385409858693;0.9809173287398532;0.9832880968230917;0.9799344450159881;0.10341415349754834;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.061492828993171766;0.000982114757174181;0.001263445989209835;0.036181407319583886;0.00013872369550206088;0.038747119245204964;0.010225261146229896;0.0;0.00015691076297739363;0.002002707655494821;0.0755952597822744;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1987 "
" ";"1.1. Floresta Natural";"1.2. Floresta Plantada";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"2.5. Outra Formação não Florestal";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.6692117164679892;0.0016430549390765077;3.079739481433697e-05;0.009689253503229614;0.00378685864233685;0.026682448922454426;0.000909897716260564;0.0;0.0001231547600899963;0.0007615665295029155;0.7128387488757543;0.7128387488757543;-0.011357653742618039;0.9387981749356792;0.0026670796945243843;0.061201825064320814;0.01135765374261788
"1.2. Floresta Plantada";0.0003478182281162329;0.002338893243656128;0.0;1.331941161081926e-05;0.0;0.00013020323228782725;0.0;0.0;0.0;0.0;0.0028302341156710075;0.0028302341156710075;0.001673700704440863;0.8263956789672185;0.025505741952980436;0.17360432103278145;0.0016737007044408626
"2.1. Área Úmida Natural não Florestal";0.0002623949982876628;0.0;0.0035253057069279973;0.0002021807655044113;0.00013522411217611272;6.140206714908552e-05;7.0708952760633265e-06;0.0;6.268190156190803e-06;8.304390161770163e-06;0.004208151125639293;0.004208151125639293;0.00014680704126730348;0.8377326768159827;0.036216992431074464;0.16226732318401726;0.00014680704126730434
"2.2. Formação Campestre (Campo)";0.015459681413115616;7.023950153503945e-05;0.00046259301093025336;0.042620077038794536;2.5284606143100976e-06;0.006614597308046594;0.0006371010987097202;0.0;4.120971092344438e-05;0.0003758150621890625;0.06628384260485858;0.06628384260485858;-0.005640839845581207;0.6429934560805106;0.009531276389852909;0.3570065439194894;0.005640839845581211
"2.5. Outra Formação não Florestal";9.78400726602277e-06;0.0;0.0;1.1290461912569343e-05;0.00011554258631288175;5.8015001694126995e-05;0.0;0.0;0.0;0.0;0.00019463205718560085;0.00019463205718560085;0.004812743562845175;0.59364622654479;0.04690287796522771;0.40635377345520995;0.004812743562845178
"3.1. Pastagem";0.009843116146420132;0.00022192901106128413;0.0;0.0032831818771276453;0.0003919031202052477;0.12652644310149203;0.003615786608243138;0.0;0.0004316660803617673;1.5900213181734564e-05;0.14432992615809298;0.14432992615809298;0.020676996587220938;0.8766473209644708;0.008267086577962412;0.12335267903552916;0.020676996587220886
"3.2. Agricultura";0.00034603196063910587;6.016677597810001e-05;4.6152318434777924e-05;0.0029441454471887986;0.0;0.004858658592914362;0.01866702326843754;0.0;2.5538613753279775e-05;0.0;0.026947716977345965;0.026947716977345965;-0.0030978838958205385;0.6927126065681283;0.01360132582664925;0.3072873934318717;0.0030978838958205523
"3.3 Mosaico de Agricultura ou Pastagem";0.005834419927307154;0.00016965134880481106;0.0;0.0018089742821546402;0.0003080960158215436;0.0;0.0;0.01819269137211188;0.00046362595202154635;0.00010033278395722279;0.0268777916821788;0.0268777916821788;-0.008685100310066925;0.6768670427702752;0.012351580503887825;0.3231329572297248;0.008685100310066921
"4.1. Infraestrutura Urbana";1.3807962856426295e-05;0.0;0.0;0.0;9.303707534383679e-06;6.244947352563492e-05;5.056921228620195e-06;0.0;0.002189877703800818;0.0;0.002280495768945883;0.002280495768945883;0.00100084524216116;0.9602638749086776;0.02598097773479856;0.039736125091322405;0.0010008452421611603
"5.1. Rio, Lago e Oceano";0.00015232402113887227;0.0;0.00029010973579923213;7.05799717543337e-05;0.0002579189750294488;1.270504574977577e-05;7.89657336976684e-06;0.0;0.0;0.012416926311454492;0.013208460634295921;0.013208460634295921;0.0004703846561512758;0.9400736887698933;0.021564024539148244;0.05992631123010672;0.00047038465615127645
"total";0.7014810951331364;0.00450393482011187;0.004354958166906597;0.060643002759277365;0.005007375620030779;0.16500692274531387;0.023849833081525412;0.01819269137211188;0.0032813410111070434;0.013678845290447198;1.0000000000000002;1.0000000000000002;0;0.8958044968009795;0.005002462939760186;0.10419550319902049;0.028781477794086616
"adj population";0.7014810951331676;0.004503934820111868;0.0043549581669065935;0.06064300275927758;0.005007375620030777;0.16500692274531428;0.02384983308152536;0.018192691372111845;0.003281341011107044;0.013678845290447215;1.0000000000000002;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.8216376463447233e-18;1.1059446948465814e-17;1.049690741991161e-17;3.3368986692556064e-18;1.1974451259831443e-17;2.1697803026568343e-18;4.934017319865238e-18;5.458735786462865e-18;1.3569409149823246e-17;8.011917958396548e-18;7.283320246101392e-17;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.9539982204951349;0.5192999759259465;0.8094924386913416;0.7028028807870078;0.023074479543871648;0.7667947562223439;0.7826898915656311;1.0;0.6673727894748762;0.9077466736264661;0.8958044968009791;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.0027594238696700894;0.015179533741749577;0.03548191435318067;0.010672671684066031;0.001524516129698637;0.0071057742452911065;0.015539722257327325;0.018874558214391837;0.017060124508159323;0.02060143919238883;0.005037714966545719;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9972405761303299;0.9848204662582504;0.9645180856468193;0.989327328315934;0.9984754838703014;0.9928942257547089;0.9844602777426726;0.9811254417856081;0.9829398754918407;0.9793985608076111;0.10419550319902093;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.06453875733029446;0.0009826817440297588;0.0013656908374225906;0.03604585144096566;0.0001581789417454382;0.03560696611320191;0.010365619626175743;0.0;0.0001812361302901298;0.0015830686456828579;0.07541402540490427;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1988 "
" ";"1.1. Floresta Natural";"1.2. Floresta Plantada";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"2.5. Outra Formação não Florestal";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.6614548110309021;0.0016143740488393011;2.266669463856857e-05;0.009204633777058538;0.005856569035438714;0.027518851866224686;0.0009739073184872774;0.0;0.000136384717904483;0.0008522384089338162;0.7076344368984274;0.7076344368984274;-0.018887229453588648;0.9347408443405761;0.002697094635022881;0.06525915565942386;0.01888722945358856
"1.2. Floresta Plantada";0.00033984878358309784;0.002457277476401143;0.0;0.0;0.0;0.0001141617328872073;0.0;0.0;0.0;0.0;0.002911287992871448;0.002911287992871448;0.0017000240826649264;0.8440516645615302;0.025840918832333883;0.15594833543846975;0.001700024082664927
"2.1. Área Úmida Natural não Florestal";0.0003196612029390028;0.0;0.003715260199023288;0.00018410222093705265;0.00018112857861097607;8.010647318098559e-05;1.529955607497352e-05;0.0;6.218434124909771e-06;8.23847105492066e-06;0.0045100151359461094;0.0045100151359461094;-1.7642379822970173e-05;0.8237799845529568;0.03502003443995174;0.17622001544704324;1.764237982297169e-05
"2.2. Formação Campestre (Campo)";0.011346905661616925;9.591295678605017e-05;0.0004526232158048762;0.045991903605883296;2.508390041739127e-06;0.006552406200703077;0.0007251658945606078;0.0;4.088259390645917e-05;0.0004191518152053067;0.06562746033450835;0.06562746033450835;-0.0021342611262045175;0.7008027336645206;0.010167018783668172;0.2991972663354794;0.0021342611262045452
"2.5. Outra Formação não Florestal";0.0;0.0;0.0;1.1200839778891049e-05;0.00011462542515541476;5.9625683738798556e-05;0.0;0.0;0.0;3.919698773136694e-06;0.00018937164744624107;0.00018937164744624107;0.0075608501717222484;0.6052934887623804;0.04954345355417525;0.3947065112376196;0.00756085017172225
"3.1. Pastagem";0.00944975531062642;0.00022225076080617057;0.0;0.003108601156482387;0.0009986025939590062;0.13203982474226234;0.003980929297672848;0.0;0.0004900988213513649;8.130140709307302e-05;0.1503713640902536;0.1503713640902536;0.021025580873484325;0.8780915538081535;0.008116342229272315;0.12190844619184649;0.0210255808734843
"3.2. Agricultura";0.0002268843889265795;3.4796971797290944e-05;3.6369257729283224e-05;0.00318656659348107;1.794734389105677e-05;0.00489445110703714;0.019016695759116912;0.0;2.533589175009878e-05;0.0;0.027439047313729432;0.027439047313729432;-0.0027141988162768076;0.6930523331107667;0.013487527789041814;0.30694766688923325;0.002714198816276818
"3.3 Mosaico de Agricultura ou Pastagem";0.005313421188072728;0.0001866998609064195;0.0;0.001719563612696549;0.0002732856281179845;0.0;0.0;0.017716949881355467;0.0003720801113401655;0.0001261137390413586;0.025708114021530674;0.025708114021530674;-0.00799116414017521;0.6891579003624073;0.012884159473358239;0.3108420996375927;0.007991164140175207
"4.1. Infraestrutura Urbana";1.3698357146533603e-05;0.0;0.0;0.0;9.229855983684762e-06;7.387408202652113e-05;5.016780083478254e-06;0.0;0.0022191687979554505;0.0;0.002320987873195668;0.002320987873195668;0.0009691814951372635;0.9561311472515246;0.025685741610717964;0.043868852748475407;0.0009691814951372636
"5.1. Rio, Lago e Oceano";0.00028222152102548733;0.0;0.00026545338892712306;8.662740198602274e-05;0.0002963249679699148;6.364307567713718e-05;7.833891456517762e-06;0.0;0.0;0.012285810445016719;0.013287914692058922;0.013287914692058922;0.0004888592930594082;0.924585288943714;0.02096899430079801;0.07541471105628605;0.0004888592930594095
"total";0.6887472074448389;0.004611312075536375;0.004492372756123138;0.0634931992083038;0.0077502218191684916;0.1713969449637379;0.024724848497452614;0.017716949881355467;0.0032901693683329318;0.013776773985118331;1.0000000000000002;1.0000000000000002;0;0.8970123273630742;0.005078374341428409;0.10298767263692576;0.03174449591606812
"adj population";0.6887472074448704;0.004611312075536371;0.004492372756123133;0.06349319920830393;0.00775022181916849;0.17139694496373864;0.02472484849745258;0.017716949881355408;0.0032901693683329318;0.013776773985118354;1.0000000000000002;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.7893924127220804e-18;1.0825617333872833e-17;1.0225969464134765e-17;3.2778471245999465e-18;9.362145751468817e-18;2.1172522418341037e-18;4.7995828669819545e-18;5.465907567659695e-18;1.3402742818741406e-17;7.875400272009101e-18;6.914185785402471e-17;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.9603738554306642;0.5328803247642523;0.8270151211204276;0.7243595247893634;0.014789954123882454;0.7703744356131775;0.7691329538814432;1.0;0.6744846691828094;0.8917770196627927;0.8970123273630736;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.002847523557310903;0.015511173244417323;0.03579219289914343;0.010649369973590363;0.0009639797394841435;0.0069974635545559305;0.015092493529959491;0.01922866567598768;0.017150062952724487;0.02012645618591397;0.00512405730454389;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9971524764426891;0.9844888267555827;0.9642078071008566;0.9893506300264097;0.9990360202605159;0.9930025364454441;0.9849075064700406;0.9807713343240123;0.9828499370472755;0.979873543814086;0.10298767263692643;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.05458479282787354;0.0009080210329406105;0.0015542251141996994;0.03500259120484102;0.00014949244458165262;0.03666307869598251;0.011416305476671405;0.0;0.0002036381504804353;0.0020042084940844057;0.07124317672082764;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1989 "
" ";"1.1. Floresta Natural";"1.2. Floresta Plantada";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"2.5. Outra Formação não Florestal";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
