"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Pantanal  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.3 Mosaico de Agricultura ou Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"prod stdErr";0.03708472754458274;0.04665578057754312;0.04452714246927625;0.04840647945977004;0.10409232229551581;0.04378147825415994;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9629152724554173;0.9533442194224568;0.9554728575307238;0.9515935205402299;0.8959076777044842;0.16696227545472864;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.0867754405039739;0.027331846053470943;0.08681713912812355;0.02333520201582337;0.0008719959053589271;0.11256581180337535;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1988 "
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.3389954737974004;0.001359747315456015;0.033241270352803935;0.010064587444142242;0.0;0.3836610789098026;0.3836610789098026;0.006052938440673485;0.8835805674129824;0.03833440656031756;0.11641943258701759;0.006052938440673561
"2.1. Área Úmida Natural não Florestal";0.017813937895744123;0.21486901326507798;0.0;0.0006663105285732543;0.0;0.23334926168939535;0.23334926168939535;0.02204493623493165;0.920804341567123;0.050945168421332225;0.07919565843287701;0.022044936234931645
"2.2. Formação Campestre (Campo)";0.030459810686843124;0.023241212893432155;0.2171559660398223;0.01795381011910178;0.0004369447854419867;0.28924774452464136;0.28924774452464136;-0.02741342346857146;0.7507611386795878;0.04027170912246082;0.24923886132041218;0.027413423468571507
"3.1. Pastagem";0.0011542895758402695;0.0;0.01143708466344364;0.040543500455090184;0.0;0.05313487469437409;0.05313487469437409;0.01609333385253337;0.7630299438606359;0.06467623951820566;0.23697005613936406;0.01609333385253337
"5.1. Rio, Lago e Oceano";0.0012905053946481843;0.015924224450360857;0.0;0.0;0.023392310336778094;0.04060704018178714;0.04060704018178714;-0.016777785059567056;0.5760653874810086;0.058052195415546036;0.42393461251899145;0.016777785059567056
"total";0.38971401735047617;0.255394197924327;0.26183432105606985;0.06922820854690746;0.023829255122220082;1.0;1.0;0;0.8349562638941689;0.04403782996426566;0.16504373610583112;0.04419120852813857
"adj population";0.3897140173504761;0.2553941979243267;0.26183432105606963;0.06922820854690746;0.02382925512222008;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0142566283799969e-15;1.0813679520877668e-15;1.128605560570229e-15;2.010144210299618e-15;3.1011763276138274e-15;8.335550678951438e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8698570200325545;0.8413230018982004;0.8293640236465407;0.5856500017275303;0.9816635147342667;0.8349562638941689;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03747722190332192;0.0454447929963328;0.04544159828364582;0.0484689503530421;0.10408578376132822;0.04394561049745043;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9625227780966781;0.9545552070036672;0.9545584017163542;0.9515310496469579;0.8959142162386717;0.16504373610583112;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.08933121022480439;0.03696049684863473;0.08935671003249512;0.025182748478567815;0.0008738895708839747;0.12085252757769302;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1989 "
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.3407493417325594;0.0013584084302020688;0.027671496474087124;0.010719913160816606;0.0;0.3804991597976652;0.3804991597976652;0.009186861353259995;0.8955324419474585;0.039004784542353135;0.10446755805254149;0.009186861353260023
"2.1. Área Úmida Natural não Florestal";0.02177567874951568;0.22047476305372107;0.0;0.0016789882976078099;0.0;0.24392943010084456;0.24392943010084456;0.018434447144496904;0.90384650578068;0.047665767438205775;0.09615349421931996;0.018434447144496935
"2.2. Formação Campestre (Campo)";0.02371954883964996;0.024419373332247144;0.21513230034198574;0.016902549431490145;0.0008976585797218982;0.2810714305250949;0.2810714305250949;-0.027455894577149142;0.7654008091113268;0.041223311375083616;0.2345991908886732;0.027455894577149198
"3.1. Pastagem";0.001889297555442597;0.0;0.010811739131872864;0.0407661792608094;0.0;0.05346721594812486;0.05346721594812486;0.0166004142025991;0.7624518789301035;0.06632049861812936;0.23754812106989653;0.01660041420259909
"5.1. Rio, Lago e Oceano";0.0015521542737575882;0.01611133242917118;0.0;0.0;0.02336927692534228;0.041032763628271046;0.041032763628271046;-0.016765828123206875;0.5695272474711195;0.05699051995676106;0.4304727525288805;0.01676582812320687
"total";0.3896860211509252;0.2623638772453415;0.2536155359479457;0.07006763015072395;0.024266935505064178;0.9999999999999999;0.9999999999999999;0;0.8404918613144177;0.0439395172879923;0.15950813868558233;0.044221722700356056
"adj population";0.38968602115092515;0.2623638772453411;0.2536155359479455;0.07006763015072395;0.024266935505064174;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0131181574635867e-15;1.0654645658463583e-15;1.1505932499171655e-15;1.982102362956504e-15;3.0987570046944758e-15;8.31003534087809e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8744202338235462;0.8403396281857461;0.8482615212742384;0.581811874800338;0.9630089848166214;0.8404918613144178;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03770359683585678;0.04391376412365287;0.04708421735277534;0.048739836523604835;0.1018659939199481;0.044042299416333607;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9622964031641432;0.9560862358763471;0.9529157826472247;0.9512601634763952;0.8981340060800519;0.15950813868558222;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.0794996361302116;0.04690933409424697;0.07696647121191996;0.02540207337463092;0.001795317159443796;0.11528641598522663;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1990 "
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.33635166740186323;0.0013610468831774067;0.026363708499961436;0.01108231808027069;0.0;0.3751587408652728;0.3751587408652728;0.010960776948699985;0.896558258581676;0.039526612227946054;0.10344174141832396;0.010960776948699902
"2.1. Área Úmida Natural não Florestal";0.013824578204692645;0.18433691945666786;0.0;0.0;0.0;0.19816149766136051;0.19816149766136051;0.03049421056956574;0.9302358007592494;0.054163004142538086;0.06976419924075061;0.030494210569565722
"2.2. Formação Campestre (Campo)";0.03249513600508092;0.027136423556544546;0.24686578618738625;0.018442815887496983;0.0008994021127402793;0.32583956374924894;0.32583956374924894;-0.03937910446641395;0.7576298695801182;0.038341862216325094;0.24237013041988176;0.039379104466413906
"3.1. Pastagem";0.0018929671607289206;0.0;0.01323096459548734;0.044925111239749176;0.0;0.06004904299596543;0.06004904299596543;0.014401202211551412;0.748140336603992;0.06317645094213867;0.25185966339600796;0.014401202211551417
"5.1. Rio, Lago e Oceano";0.0015551690416070263;0.01582131833453642;0.0;0.0;0.023414667352009456;0.0407911547281529;0.0407911547281529;-0.01647708526340317;0.5740133494149238;0.05706729862552098;0.42598665058507623;0.016477085263403166
"total";0.3861195178139727;0.22865570823092624;0.28646045928283503;0.07445024520751685;0.024314069464749736;1.0;1.0;0;0.8358941516376758;0.044176598177839456;0.16410584836232422;0.055856189729817055
"adj population";0.3861195178139727;0.2286557082309261;0.2864604592828347;0.07445024520751684;0.024314069464749732;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0179011597599483e-15;1.1125612250831123e-15;1.099118044238833e-15;1.936087733451336e-15;3.104305244989045e-15;8.269973407522275e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8711076541950747;0.806176766295729;0.861779621541571;0.6034246242511142;0.9630089848166214;0.8358941516376758;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.037937910255734;0.04561404936194312;0.04474286784572184;0.04924257409650873;0.10124688927141709;0.04402338846463544;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.962062089744266;0.9543859506380569;0.9552571321542782;0.9507574259034912;0.8987531107285829;0.16410584836232422;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.07761414692681912;0.02764915640938531;0.07918934619089757;0.030247863512432513;0.001798804225480559;0.10824965863250754;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1991 "
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.3358810830732745;0.0013571741719743278;0.02627929418623554;0.010486357813641538;0.0;0.37400390924512594;0.37400390924512594;0.012055696435335987;0.8980683751440007;0.03946620828786614;0.10193162485599927;0.012055696435335994
"2.1. Área Úmida Natural não Florestal";0.01238442550404163;0.2184912436213532;0.0;0.002009987570185006;0.0;0.2328856566955798;0.2328856566955798;0.016781050439065595;0.9381910707663608;0.05179612971360188;0.06180892923363923;0.016781050439065637
"2.2. Formação Campestre (Campo)";0.03435577219817626;0.013460109698864213;0.22376285681578523;0.01823807781526325;0.0008968429616330445;0.290713659489722;0.290713659489722;-0.026875278905607758;0.7697019025818984;0.04107506345626562;0.2302980974181016;0.026875278905607758
"3.1. Pastagem";0.0018875809281009152;0.0;0.013796229582093483;0.045455996982999375;0.0;0.06113980749319377;0.06113980749319377;0.015050612688895397;0.7434762856925847;0.061345222952499424;0.2565237143074153;0.015050612688895404
"5.1. Rio, Lago e Oceano";0.0015507439768685858;0.016358179642453688;0.0;0.0;0.023348043457056773;0.04125696707637905;0.04125696707637905;-0.017012080657689232;0.5659175919022967;0.05647272870091773;0.43408240809770327;0.01701208065768923
"total";0.38605960568046194;0.24966670713464545;0.26383838058411424;0.07619042018208917;0.02424488641868982;0.9999999999999999;0.9999999999999999;0;0.8469392239504691;0.04484470250719937;0.15306077604953094;0.04388735956329701
"adj population";0.3860596056804618;0.2496667071346451;0.2638383805841141;0.07619042018208916;0.024244886418689812;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0139873944528609e-15;1.0807014059961019e-15;1.1258384324265113e-15;1.899037119847453e-15;3.0944490778611088e-15;8.214013430584037e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8700238982041553;0.8751316750595851;0.8481057847626056;0.5966103989761845;0.9630089848166214;0.8469392239504691;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03788785813803133;0.047450102921754354;0.04593250636442997;0.047654553359458694;0.10186997696660362;0.04469308708295761;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9621121418619687;0.9525498970782457;0.95406749363557;0.9523454466405413;0.8981300230333964;0.15306077604953094;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.07624565234370284;0.02878882614845324;0.08015104753665803;0.031367621020388786;0.0017936859232660918;0.10917341648623449;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1992 "
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.3325084665080018;0.0013621502349535368;0.02322409900039725;0.009887295732334949;0.0;0.36698201147568754;0.36698201147568754;0.015303944228032385;0.90606203059092;0.04002817918837398;0.09393796940907995;0.015303944228032385
"2.1. Área Úmida Natural não Florestal";0.014178202880382962;0.1935753720287355;0.0;0.0;0.0;0.20775357490911847;0.20775357490911847;0.028274164114741252;0.9317547104227436;0.05397553592591606;0.0682452895772564;0.028274164114741235
"2.2. Formação Campestre (Campo)";0.03174062927013997;0.026053435292804742;0.2407305598693229;0.02156325426440354;0.0009001312256979686;0.32098800992236914;0.32098800992236914;-0.044355386075390246;0.7499674518295666;0.038118837019569494;0.2500325481704334;0.0443553860753903
"3.1. Pastagem";0.002302227283957238;0.0009076842467369601;0.012677964977258722;0.04926935142197268;0.0;0.06515722792992559;0.06515722792992559;0.015562673488785574;0.7561609507844654;0.06142003710173912;0.24383904921553456;0.01556267348878558
"5.1. Rio, Lago e Oceano";0.0015564297612379579;0.014129097220628972;0.0;0.0;0.023433648781032698;0.039119175762899625;0.039119175762899625;-0.014785395756168964;0.5990322731507297;0.060991861874116315;0.4009677268492703;0.014785395756168957
"total";0.3822859557037199;0.2360277390238597;0.27663262384697884;0.08071990141871117;0.024333780006730667;0.9999999999999998;0.9999999999999998;0;0.8395173986090654;0.04452683261763265;0.16048260139093462;0.05914078183155923
"adj population";0.3822859557037198;0.23602773902385957;0.2766326238469786;0.08071990141871116;0.024333780006730664;0.9999999999999998;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0228805217991183e-15;1.0995985301308912e-15;1.1195388965395394e-15;1.859892482233209e-15;3.1127381960731416e-15;8.2146486267759e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8697899086978313;0.8201382296390477;0.8702175344383261;0.610374276430321;0.9630089848166214;0.8395173986090654;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03808065762629836;0.0462889054551165;0.04582382807608902;0.04837463968090631;0.10182687758283011;0.044542161070438645;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9619193423737017;0.9537110945448835;0.954176171923911;0.9516253603190937;0.8981731224171698;0.16048260139093462;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.06894708993537146;0.028356405760765924;0.07180412795531188;0.03177575301590582;0.0018002624513959384;0.10134181955937552;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1993 "
