"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Pantanal  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.3 Mosaico de Agricultura ou Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.326621352539154;0.0013621338412203616;0.01973594293412344;0.012003656801173195;0.0;0.359723086115671;0.359723086115671;0.021603341847787713;0.9079799577670893;0.040272506503958375;0.09202004223291071;0.021603341847787727
"2.1. Área Úmida Natural não Florestal";0.01677264849767629;0.18401901141688423;0.0;0.0;0.0;0.20079165991456052;0.20079165991456052;0.02301599509064841;0.9164674045485093;0.05372638201265775;0.08353259545149072;0.023015995090648417
"2.2. Formação Campestre (Campo)";0.03342044395023911;0.02338990925021939;0.24941317132912777;0.02367446007698678;0.0;0.32989798460657305;0.32989798460657305;-0.04597949412145529;0.7560312065154647;0.03832915280857244;0.24396879348453526;0.045979494121455244
"3.1. Pastagem";0.0029555719470750114;0.0009076733225870634;0.014769376221866557;0.05093582252292432;0.0;0.06956844401445295;0.06956844401445295;0.017045495386631335;0.7321684888099885;0.058740584927409877;0.2678315111900115;0.017045495386631346
"5.1. Rio, Lago e Oceano";0.0015564110293142996;0.014128927174297885;0.0;0.0;0.02433348714513116;0.04001882534874335;0.04001882534874335;-0.015685338203612186;0.6080510093206739;0.06128721995688618;0.3919489906793261;0.015685338203612186
"total";0.3813264279634587;0.22380765500520894;0.2839184904851178;0.08661393940108429;0.02433348714513116;1.0000000000000002;1.0000000000000002;0;0.8353228449532213;0.044458603659431474;0.1646771550467787;0.06166483232506746
"adj population";0.3813264279634586;0.2238076550052088;0.28391849048511736;0.08661393940108429;0.024333487145131154;1.0000000000000002;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0258453578791547e-15;1.1217631042659714e-15;1.1055674066737992e-15;1.7929918662853704e-15;3.119851497982709e-15;8.166019233087005e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8565400365338774;0.8222194697165355;0.8784675168671385;0.5880788112760366;1.0;0.8353228449532214;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03753294334973921;0.04690782649005302;0.04628139398172594;0.04599846674532636;0.10525273986363605;0.044496051987163644;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9624670566502608;0.953092173509947;0.9537186060182741;0.9540015332546736;0.894747260136364;0.1646771550467786;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.06620346715303405;0.03354529699535258;0.06901063831198007;0.03726524298305725;0.0;0.10301232272171197;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1994 "
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.31887635644443524;0.0013636839588390293;0.019898838365527406;0.013289201576426195;0.0;0.3534280803452279;0.3534280803452279;0.023388212724409232;0.9022383171505712;0.040354386189041525;0.09776168284942877;0.02338821272440922
"2.1. Área Úmida Natural não Florestal";0.01144032348191306;0.1522681826180049;0.0;0.0;0.0;0.16370850609991797;0.16370850609991797;0.05000753564818148;0.930117721097946;0.05917549452798068;0.06988227890205401;0.05000753564818147
"2.2. Formação Campestre (Campo)";0.03871257019711365;0.044903284450070746;0.25739469668729104;0.02638208939220233;0.0;0.36739264072667777;0.36739264072667777;-0.07508932325015383;0.7005984011497388;0.03388126974849768;0.2994015988502612;0.07508932325015383
"3.1. Pastagem";0.006492801372411322;0.0009087062610302316;0.015009782423705507;0.05269366812054028;0.0;0.07510495817768734;0.07510495817768734;0.017260000911481468;0.701600392292008;0.055911903602170604;0.298399607707992;0.01726000091148147
"5.1. Rio, Lago e Oceano";0.0012942415737638476;0.014272184460154505;0.0;0.0;0.02479938861657142;0.04036581465048977;0.04036581465048977;-0.015566426033918354;0.6143661122982074;0.06126342203121739;0.38563388770179263;0.015566426033918352
"total";0.3768162930696371;0.21371604174809944;0.29230331747652394;0.09236495908916881;0.02479938861657142;1.0;1.0;0;0.8060322924868428;0.043069843335518734;0.19396770751315717;0.09065574928407218
"adj population";0.376816293069637;0.21371604174809933;0.29230331747652344;0.09236495908916882;0.02479938861657142;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.030690230874418e-15;1.1475817843438632e-15;1.0902676259434618e-15;1.7556908469867621e-15;3.0902124949063367e-15;8.114442983054841e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8462382394529466;0.7124789574639357;0.8805739835914226;0.5704941423691857;1.0;0.8060322924868428;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03737878375184929;0.042762380554409805;0.04516952965063151;0.04472638162900633;0.1042296919755522;0.04314312785242857;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9626212162481507;0.9572376194455902;0.9548304703493685;0.9552736183709937;0.8957703080244478;0.19396770751315717;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.06910344780158528;0.022880646963826134;0.0698172415784658;0.04482258011429412;0.0;0.10331195822908568;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1995 "
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.3169396199640718;0.0013563415327801749;0.020319209380924328;0.015807916592956103;0.0;0.3544230874707324;0.3544230874707324;0.017758653977381758;0.8942408978654474;0.03993889458369875;0.10575910213455264;0.01775865397738169
"2.1. Área Úmida Natural não Florestal";0.020368839113555994;0.22379968411404616;0.0;0.0032806222952197145;0.0;0.24744914552282188;0.24744914552282188;0.014417321678900481;0.904426982930945;0.047605317618619865;0.09557301706905497;0.014417321678900474
"2.2. Formação Campestre (Campo)";0.026651728469457243;0.02205253103725973;0.2066702119974436;0.024566752316991482;0.0;0.27994122382115205;0.27994122382115205;-0.03833779232042741;0.7382628723859559;0.040357534837739434;0.2617371276140441;0.038337792320427416
"3.1. Pastagem";0.006934280857617252;0.0009038135522118975;0.014614010122356713;0.055881922876421;0.0;0.07833402740860686;0.07833402740860686;0.021203186672981437;0.7133799285581102;0.05462208081132263;0.28662007144188983;0.021203186672981447
"5.1. Rio, Lago e Oceano";0.0012872730434118835;0.013754096965424394;0.0;0.0;0.024811145767851133;0.039852515776687414;0.039852515776687414;-0.015041370008836277;0.6225741407864882;0.062244895084318484;0.3774258592135118;0.01504137000883628
"total";0.3721817414481141;0.26186646720172235;0.24160343150072464;0.0995372140815883;0.024811145767851133;0.9999999999999999;0.9999999999999999;0;0.8281025847198336;0.04399228242722955;0.17189741528016644;0.05337916232926365
"adj population";0.372181741448114;0.2618664672017221;0.24160343150072439;0.09953721408158833;0.02481114576785113;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0231325042112535e-15;1.0625501719610927e-15;1.165472608344974e-15;1.686880566277716e-15;3.0618255212622582e-15;7.999861372057294e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8515721881758573;0.8546328459139733;0.855410913304117;0.5614173893858021;1.0;0.8281025847198336;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03786110283003958;0.044758399044332785;0.048271070064088234;0.042364981810098186;0.10364465151049958;0.044262826010149726;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9621388971699604;0.9552416009556672;0.9517289299359117;0.9576350181899018;0.8963553484895004;0.17189741528016644;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.0749669350133213;0.047298922817551436;0.06986643900656209;0.04490420906437172;0.0;0.11851825295090326;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1996 "
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.30864545743253297;0.00135980147734958;0.018798819686098363;0.016063575443322715;0.0;0.34486765403930364;0.34486765403930364;0.025201454310795394;0.8949678342328894;0.04066483490760083;0.10503216576711061;0.0252014543107954
"2.1. Área Úmida Natural não Florestal";0.013872630404021294;0.18389649607907124;0.0;0.0013867678843905234;0.0;0.19915589436748304;0.19915589436748304;0.02672210262266443;0.9233796301290732;0.05388428556537162;0.0766203698709268;0.026722102622664445
"2.2. Formação Campestre (Campo)";0.03682345045436943;0.02574592473824232;0.245779437390594;0.027712291358845488;0.0;0.33606110394205124;0.33606110394205124;-0.05852522169238445;0.7313534190882587;0.0369006950932628;0.2686465809117413;0.058525221692384444
"3.1. Pastagem";0.009437013260700112;0.0009061191254883572;0.012957625172974427;0.056479940235277054;0.0;0.07978069779443994;0.07978069779443994;0.02186187712739584;0.7079399127443236;0.05501172280103638;0.29206008725567645;0.021861877127395846
"5.1. Rio, Lago e Oceano";0.0012905567984752306;0.013969655569995998;0.0;0.0;0.02487443748825155;0.04013464985672278;0.04013464985672278;-0.015260212368471226;0.6197746231012637;0.06183511413522092;0.38022537689873626;0.015260212368471228
"total";0.37006910835009904;0.2258779969901475;0.2775358822496668;0.10164257492183579;0.02487443748825155;1.0;1.0;0;0.8196757686257267;0.04402685191648382;0.18032423137427334;0.07378543406085568
"adj population";0.3700691083500988;0.22587799699014738;0.27753588224966635;0.1016425749218358;0.024874437488251546;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0287533611012642e-15;1.1128684585966628e-15;1.1087915006982296e-15;1.6724867411150995e-15;3.071045478283985e-15;7.99394553979524e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8340211340757006;0.8141408128702885;0.8855771563602531;0.5556720722464059;1.0;0.8196757686257268;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.037423827238237166;0.04639796384836447;0.04682298785369077;0.041910793155537356;0.10362078179168067;0.0441621703516381;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9625761727617629;0.9536020361516355;0.9531770121463092;0.9580892068444626;0.8963792182083193;0.18032423137427323;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.07244439321354135;0.030518796576823604;0.06351288971814562;0.046601515118325776;0.0;0.10653879731341817;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1997 "
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.3073303541170655;0.0013518215656896997;0.01875067554207713;0.017559480013343766;0.0;0.34499233123817613;0.34499233123817613;0.022482311541794517;0.8908324223151802;0.04043252168632628;0.10916757768481977;0.022482311541794475
"2.1. Área Úmida Natural não Florestal";0.013685610825960703;0.21767498897334603;0.0;0.0037929791186447404;0.0;0.23515357891795147;0.23515357891795147;0.0172773792651341;0.9256715971535182;0.049629153753390436;0.07432840284648179;0.01727737926513412
"2.2. Formação Campestre (Campo)";0.03623248980447069;0.019371672840522266;0.21510400799791468;0.025065854006921;0.0;0.29577402464982866;0.29577402464982866;-0.04918924443844244;0.7272579404245504;0.039396074684079234;0.2727420595754496;0.04918924443844244
"3.1. Pastagem";0.008943204787502771;0.0;0.012730096671394396;0.06236284231083351;0.0;0.08403614376973068;0.08403614376973068;0.024745011680012346;0.7420954783660151;0.055254096985348715;0.2579045216339849;0.02474501168001235
"5.1. Rio, Lago e Oceano";0.001282983244970962;0.014032474803527572;0.0;0.0;0.024728463375815406;0.04004392142431394;0.04004392142431394;-0.015315458048498534;0.6175335106116938;0.06171611534730848;0.3824664893883062;0.015315458048498536
"total";0.3674746427799706;0.2524309581830856;0.24658478021138622;0.10878115544974302;0.024728463375815406;1.0;1.0;0;0.827200656774975;0.04438641511460713;0.172799343225025;0.06450470248694096
"adj population";0.3674746427799704;0.25243095818308525;0.24658478021138594;0.10878115544974302;0.024728463375815402;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.018648992556281e-15;1.067917315735504e-15;1.1418569124180513e-15;1.6196989736383782e-15;3.041518040341333e-15;7.889640234689548e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8363307786139758;0.8623149495612522;0.8723328658545572;0.5732871842829909;1.0;0.827200656774975;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03763225947688157;0.04565521431540523;0.049229142765694546;0.041564360963916636;0.10394112506945645;0.044584571468541986;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9623677405231185;0.9543447856845948;0.9507708572343054;0.9584356390360833;0.8960588749305436;0.172799343225025;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.07532395424222127;0.034957179889210876;0.06296154442694307;0.043346602917794325;0.0;0.10829464073808477;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1998 "
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.30333674935543886;0.001357657970971859;0.018356318034791236;0.012279635111247841;0.0;0.3353303604724498;0.3353303604724498;0.027980403217462237;0.9045907711072303;0.041659491865017856;0.0954092288927697;0.027980403217462202
"2.1. Área Úmida Natural não Florestal";0.0067506845032064096;0.16357826683535992;0.0;0.003283806402155573;0.0;0.17361275774072188;0.17361275774072188;0.0382300777209435;0.9422018805763814;0.06003307165139226;0.057798119423618566;0.038230077720943556
"2.2. Formação Campestre (Campo)";0.04186301354426249;0.03444031214934032;0.2570805955256162;0.029783373269416217;0.0;0.3631672944886352;0.3631672944886352;-0.07700333249767934;0.7078847666819872;0.034506342746782104;0.2921152333180128;0.07700333249767932
"3.1. Pastagem";0.010071793841906661;0.0006031271838136887;0.010727048430548471;0.0685003971007888;0.0;0.08990236655705762;0.08990236655705762;0.02394484532655082;0.7619420903376798;0.056710161173247405;0.2380579096623202;0.023944845326550807
"5.1. Rio, Lago e Oceano";0.0012885224450976077;0.011863471322179617;0.0;0.0;0.024835226973859252;0.037987220741136474;0.037987220741136474;-0.013151993767277225;0.6537784678457697;0.06528956977723346;0.34622153215423035;0.013151993767277222
"total";0.363310763689912;0.21184283546166544;0.2861639619909559;0.11384721188360843;0.024835226973859252;1.0;1.0;0;0.8173312357910628;0.044502321683815196;0.18266876420893718;0.09015532626495655
"adj population";0.36331076368991166;0.21184283546166524;0.28616396199095545;0.11384721188360844;0.024835226973859245;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0279850053710572e-15;1.1367390473352344e-15;1.0846440044371756e-15;1.6072155652474942e-15;3.0581613537934508e-15;7.914744976184413e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8349236512418294;0.7721680390034271;0.8983681723477854;0.6016870854142663;1.0;0.8173312357910628;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03775296563800174;0.04706248469487449;0.046365463072363576;0.04364467454906766;0.10391331342427573;0.044503568826944284;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9622470343619982;0.9529375153051255;0.9536345369276364;0.9563553254509324;0.8960866865757242;0.18266876420893718;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.06398722223402187;0.020068981810723918;0.05816673293067942;0.04280393891253764;0.0;0.09251343794398142;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1999 "
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.3024190469577535;0.001356105577704844;0.01799093173279928;0.013855399653668117;0.0;0.3356214839219257;0.3356214839219257;0.023404960367829318;0.9010717771217052;0.041261565553006536;0.09892822287829484;0.023404960367829353
"2.1. Área Úmida Natural não Florestal";0.006774530353259504;0.16011732836282105;0.0;0.001566605160865777;0.0;0.16845846387694632;0.16845846387694632;0.03472017546866091;0.9504855065031447;0.059018095577996914;0.04951449349685533;0.034720175468660935
"2.2. Formação Campestre (Campo)";0.04156745569619235;0.029142327502959003;0.26183742066392574;0.03272663449010112;0.0;0.3652738383531782;0.3652738383531782;-0.07271139111586467;0.7168250040692995;0.03513266775675537;0.2831749959307005;0.07271139111586472
"3.1. Pastagem";0.008265411282549697;0.0006024375472488653;0.012734094840588536;0.07098995120593396;0.0;0.09259189487632105;0.09259189487632105;0.02654669563424793;0.7666972503452734;0.056732325295803035;0.23330274965472664;0.026546695634247913
"5.1. Rio, Lago e Oceano";0.0;0.01196044035487348;0.0;0.0;0.026093878616756105;0.038054318971629586;0.038054318971629586;-0.01196044035487348;0.6857008434761299;0.06941743631639213;0.3142991565238701;0.01196044035487348
"total";0.35902644428975505;0.20317863934560726;0.2925624472373135;0.11913859051056896;0.026093878616756105;1.0;1.0;0;0.8214576258071901;0.044517996748606015;0.17854237419280994;0.0846718314707382
"adj population";0.3590264442897547;0.20317863934560698;0.29256244723731323;0.11913859051056896;0.0260938786167561;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0299996560044846e-15;1.153853617976083e-15;1.0750053759351018e-15;1.563661589496439e-15;3.025439074677615e-15;7.847959314089724e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8423308415512809;0.7880618202706887;0.8949795954213321;0.5958602573834908;1.0;0.8214576258071902;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03803231285747231;0.04690386044723402;0.046456551538008616;0.04301177075812408;0.10679420570673463;0.04468694779139627;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9619676871425277;0.953096139552766;0.9535434484619913;0.9569882292418759;0.8932057942932654;0.17854237419280983;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.06640487392834438;0.01668227102825054;0.06145005314677554;0.04320388734077418;0.0;0.09387054272207232;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 2000 "
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.29772935363109904;0.0013569749311715615;0.01720196878470622;0.01185522527201037;0.0;0.32814352261898716;0.32814352261898716;0.0235539831946236;0.9073144313648315;0.042238870793094185;0.09268556863516852;0.023553983194623596
"2.1. Área Úmida Natural não Florestal";0.008106986594140622;0.1701007754593352;0.0;0.0022422918368767224;0.0;0.18045005389035254;0.18045005389035254;0.03423606048321937;0.942647407368989;0.0569808851439844;0.057352592631011;0.034236060483219366
"2.2. Formação Campestre (Campo)";0.039531271076389984;0.030212136303648763;0.24729335232203475;0.03376071889481498;0.0;0.3507974785968885;0.3507974785968885;-0.07234492698891756;0.7049462080262174;0.03552883575008953;0.29505379197378256;0.07234492698891759
"3.1. Pastagem";0.006329894511981148;0.000602823749605667;0.013957230501229954;0.08119498568044972;0.0;0.1020849344432665;0.1020849344432665;0.026968287240885312;0.7953669767557492;0.05758376831104574;0.2046330232442508;0.02696828724088529
"5.1. Rio, Lago e Oceano";0.0;0.012413403929810718;0.0;0.0;0.02611060652069554;0.038524010450506255;0.038524010450506255;-0.012413403929810718;0.6777748789742737;0.06865152312519983;0.3222251210257263;0.012413403929810714
"total";0.35169750581361076;0.2146861143735719;0.2784525516079709;0.1290532216841518;0.02611060652069554;1.0000000000000002;1.0000000000000002;0;0.8224290736136142;0.04512920885440827;0.17757092638638583;0.08475833091872828
"adj population";0.3516975058136104;0.21468611437357166;0.27845255160797067;0.12905322168415181;0.026110606520695533;1.0000000000000002;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.033289034716475e-15;1.1343324839520951e-15;1.0906610811814845e-15;1.5296449226229876e-15;3.0231045345974436e-15;7.811032057070485e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8465495168705766;0.792323136294439;0.8880987115901715;0.6291589207991136;1.0;0.822429073613614;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03882125625277105;0.04637990974040938;0.04745876283883981;0.044033390759729396;0.1069499493147632;0.045300654195634935;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.961178743747229;0.9536200902595906;0.9525412371611602;0.9559666092402705;0.8930500506852368;0.17757092638638605;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.06082833797577625;0.0206985568620347;0.06231839857187227;0.04177989752563355;0.0;0.09281259546765838;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 2001 "
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.29953006334101184;0.0013542108241195899;0.01550174116914648;0.010906583816456584;0.0;0.3272925991507345;0.3272925991507345;0.027105849718978007;0.915175180001743;0.04264873582220437;0.08482481999825697;0.027105849718978003
"2.1. Área Úmida Natural não Florestal";0.006203631986922643;0.13473896692237802;0.0;0.0016376881095101993;0.0;0.14258028701881087;0.14258028701881087;0.04897424430017231;0.9450041779239908;0.06364359197376863;0.05499582207600917;0.048974244300172276
"2.2. Formação Campestre (Campo)";0.04130531543403737;0.04454420375292706;0.26573142337642003;0.036336644397839075;0.0;0.3879175869612235;0.3879175869612235;-0.09396926256614171;0.6850203040755215;0.03283522967237203;0.3149796959244785;0.09396926256614163
"3.1. Pastagem";0.007359438107740636;0.0006015958202319516;0.012715159849515368;0.08516035889812847;0.0;0.10583655267561642;0.10583655267561642;0.028204722546317913;0.8046403321463103;0.05708831018634558;0.19535966785368974;0.028204722546317895
"5.1. Rio, Lago e Oceano";0.0;0.010315553999326503;0.0;0.0;0.026057420194288756;0.03637297419361526;0.03637297419361526;-0.010315553999326503;0.7163950920148495;0.07346653984760938;0.2836049079851505;0.010315553999326502
"total";0.3543984488697125;0.19155453131898315;0.2939483243950819;0.13404127522193432;0.026057420194288756;1.0;1.0;0;0.8112182327322268;0.04448452677626484;0.18878176726777318;0.10428481656546815
"adj population";0.3543984488697121;0.19155453131898317;0.2939483243950817;0.13404127522193432;0.026057420194288753;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0286909369595707e-15;1.1715088634922578e-15;1.0676150711651208e-15;1.5125680498660102e-15;3.016761338197468e-15;7.797144259680428e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8451788214545148;0.7033974398548999;0.9040072738066135;0.6353293696820406;1.0;0.8112182327322269;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03865996840428966;0.04459710075229189;0.046652055959856054;0.043505724518669985;0.10743681426204417;0.044588192255106913;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9613400315957104;0.9554028992477082;0.953347944040144;0.95649427548133;0.8925631857379558;0.18878176726777307;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.05552507161944531;0.015682640192865693;0.05643380203732373;0.04135238755497592;0.0;0.08449695070230533;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 2002 "
" ";"1.1. Floresta Natural";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1. Floresta Natural";0.296759455333892;0.0013514244102309605;0.014879958923219493;0.011889209229565607;0.0;0.324880047896908;0.324880047896908;0.023281727899804882;0.9134431531112697;0.04260258832076754;0.08655684688873033;0.023281727899804927
"2.1. Área Úmida Natural não Florestal";0.007538473716701799;0.15800599347433048;0.0;0.0022753809672214076;0.0;0.16781984815825368;0.16781984815825368;0.03324555597557921;0.941521489909413;0.05939259017590614;0.05847851009058702;0.03324555597557921
"2.2. Formação Campestre (Campo)";0.03655883521791808;0.029781911545400528;0.2535340292415313;0.034895939310667305;0.0;0.35477071531551724;0.35477071531551724;-0.07413115137754486;0.7146419315248423;0.03536291024376948;0.28535806847515766;0.07413115137754495
"3.1. Pastagem";0.007305011528201078;0.0006003579812492914;0.01222557577322155;0.09506892197928196;0.0;0.11519986726195389;0.11519986726195389;0.02892958422478241;0.825252009736296;0.05781537827480415;0.17474799026370402;0.028929584224782395
"5.1. Rio, Lago e Oceano";0.0;0.01132571672262165;0.0;0.0;0.026003804644746522;0.03732952136736817;0.03732952136736817;-0.01132571672262165;0.6966016089206518;0.071870114326207;0.3033983910793482;0.011325716722621646
"total";0.3481617757967129;0.2010654041338329;0.2806395639379723;0.14412945148673628;0.026003804644746522;0.9999999999999999;0.9999999999999999;0;0.8293722046737821;0.04569691223342213;0.17062779532621786;0.08545686810016656
"adj population";0.3481617757967125;0.2010654041338327;0.28063956393797196;0.1441294514867363;0.026003804644746515;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0265121208827074e-15;1.1509709036054691e-15;1.0739731067642324e-15;1.468960192141573e-15;3.0005781153034624e-15;7.720994438697444e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8523608160453716;0.7858437614118772;0.9034151339316077;0.6596078802674886;1.0;0.829372204673782;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03920319074045415;0.04768019510755364;0.047470265223873286;0.04410364069749005;0.10744758604914695;0.04570860431549068;NaN;NaN;NaN;NaN;NaN;NaN
