"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Pampa  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.2. Floresta Plantada";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.2.1. Lavoura Temporária";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"3.2.1. Lavoura Temporária";0.0005515784714904084;0.0012912076069999784;0.0019131201046775354;0.11868735203729006;0.18067854559446303;0.0;0.0;0.30312180381492104;0.30312180381492104;-0.09838496432569119;0.5960592188372601;0.027000906983336702;0.4039407811627399;0.09838496432569133
"4.1. Infraestrutura Urbana";0.0;0.0;0.0;0.0;0.0;0.004937457342934814;0.0;0.004937457342934814;0.004937457342934814;0.0009002025909797578;1.0;0.1693847228316414;0.0;0.0009002025909797574
"5.1. Rio, Lago e Oceano";0.0;0.0;0.0009228143066031494;0.002124328075518073;0.0003273311890736626;0.0;0.018459234507623327;0.021833708078818213;0.021833708078818213;-0.002880196124284424;0.845446611312505;0.11318220139041732;0.15455338868749502;0.0028801961242844246
"total";0.07106943316143007;0.00890479675445653;0.009404538738491636;0.681093219967944;0.20473683948922972;0.005837659933914572;0.018953511954533788;1.0000000000000002;1.0000000000000002;0;0.8100954223275844;0.0306115342170639;0.18990457767241564;0.12077063838046549
"adj population";0.07106943316143008;0.00890479675445653;0.009404538738491635;0.6810932199679438;0.2047368394892297;0.005837659933914573;0.01895351195453378;1.0000000000000002;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.1364821046713429e-15;2.780265112298983e-15;2.602618973565492e-15;5.92008809220411e-16;6.687249735352268e-16;3.669838862901695e-15;2.131332115696211e-15;1.3581270951889363e-14;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8928419989525399;0.38429677024074416;0.49068248809108356;0.7848113405673106;0.8824916221487716;0.8457939309294251;0.9739215904632266;0.8100954223275847;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.06521361552175665;0.10719105424103043;0.0974688066234545;0.01668040722621389;0.04311617961849402;0.1330721597021002;0.13245886311591512;0.02998163168371868;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9347863844782434;0.8928089457589696;0.9025311933765455;0.9833195927737861;0.956883820381506;0.8669278402978998;0.8675411368840849;0.1899045776724153;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.01523131678630979;0.003026610865228278;0.00957979254187916;0.06132501570712923;0.04811658778953337;0.0;0.0009885548938209227;0.06913393929195039;NaN;NaN;NaN;NaN;NaN;NaN
