"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Cerrado  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.2. Formação Savânica";0.05335057337076614;0.2600843845604099;0.0010874187402047846;0.03365473573260477;0.037427346285845486;0.0005084060962297209;0.0003991388176051406;0.00048725052790753556;0.38699925413157343;0.38699925413157343;-0.03157618199807477;0.6720539685381022;0.008802488815926999;0.3279460314618978;0.031576181998074604
"1.2. Floresta Plantada";0.0004327199772783672;0.0001767434868928866;0.005359694958564822;0.0;7.095612739839216e-05;0.0;0.0;0.0;0.006040114550134468;0.006040114550134468;0.004224488197601555;0.8873498861781524;0.05277197930679925;0.11265011382184764;0.004224488197601556
"2.2. Formação Campestre (Campo)";0.00020825415347349252;0.0375435567013657;0.0002832851075217315;0.05103729674519388;0.014323548015875041;0.00027926379160112924;4.622346462114203e-05;0.00035402783886838174;0.10407545581852051;0.10407545581852051;-0.00508933651963011;0.4903874438387204;0.01227235735551952;0.5096125561612797;0.005089336519630158
"3.1. Pastagem";0.007345438378852313;0.023236922486978468;0.0011787760671006378;0.011348468009672104;0.2201321182839539;0.008121737408151744;0.0010737295136962744;4.610860710904339e-05;0.27248329875551447;0.27248329875551447;0.014329346684629471;0.8078738010341946;0.011739987099430365;0.1921261989658054;0.01432934668462943
"3.2.1. Lavoura Temporária";0.0002385456105399207;0.0016689144597407516;0.0;0.0023018680909341416;0.008045363340826756;0.024684428285305114;6.255237631858034e-05;0.0;0.03700167216366526;0.03700167216366526;-0.0031763559688929577;0.6671165610062514;0.022597334643417014;0.3328834389937486;0.0031763559688929577
"4.1. Infraestrutura Urbana";0.0;0.0;0.0;0.0;5.1063229779713244e-05;0.0;0.0013652459425374268;0.0;0.00141630917231714;0.00141630917231714;0.001621326113096293;0.9639462690930882;0.055301127087516694;0.036053730906911774;0.0016213261130962927
"5.1. Rio, Lago e Oceano";0.0002805533573642872;2.5533012072249827e-05;0.0;7.772069594563717e-05;0.0;0.0;0.0;0.005339171991275932;0.005722979056658107;0.005722979056658107;0.0008918113961883531;0.9329357906813142;0.050079912231505444;0.06706420931868584;0.0008918113961883523
"total";0.205035818446701;0.35542307213349883;0.010264602747736024;0.09898611929889035;0.2868126454401439;0.033825316194772304;0.003037635285413433;0.006614790452846459;0.9999999999999998;0.9999999999999998;0;0.7111820743656667;0.011742319005011255;0.2888179256343333;0.03984187448659769
"adj population";0.20503581844670138;0.35542307213349783;0.010264602747736024;0.09898611929889042;0.28681264544014196;0.0338253161947723;0.0030376352854134332;0.0066147904528464545;0.9999999999999998;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";2.818218676697347e-17;2.3417980994560352e-17;1.1061686977167815e-16;3.650782894414604e-17;2.4884599694952758e-17;6.25352167908207e-17;2.0700091825715414e-16;1.4728122921866088e-16;6.404268304389465e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.6983157122649087;0.7317599923921669;0.5221531792593692;0.5156005418404767;0.7675118994357368;0.729761937572666;0.44944366728068613;0.8071566332049707;0.7111820743656669;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.011431235362406226;0.009644654122524814;0.028753577412736132;0.013027842374807178;0.011172582435139827;0.02444994202344755;0.025185683360808484;0.04220620107473288;0.011743619946410034;NaN;NaN;NaN;NaN;NaN;NaN
