"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Mata Atlântica  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"2.5. Outra Formação não Florestal";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"3.2.2. Lavoura Perene";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"producer's accuracy";0.886814101742936;0.3106067952764266;0.5963674604163985;0.29513353563595085;0.17001457145915616;0.823576819211124;0.8596215435618799;1.0;0.6503046743757217;0.9287216259267058;0.0;0.8379907705647713;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.0156136801540044;0.02388529196133067;0.03239464535143721;0.03226703091226287;0.01857180867664637;0.011942849262445853;0.029892444461511493;0.028937876835734247;0.03633162840295758;0.05610325250869512;0.0;0.017835198408364207;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9843863198459956;0.9761147080386693;0.9676053546485628;0.9677329690877371;0.9814281913233537;0.9880571507375542;0.9701075555384885;0.9710621231642658;0.9636683715970424;0.9438967474913049;1.0;0.16200922943522866;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.06492289125380091;0.017622995271275022;0.004506970142698522;0.009569207138175401;0.0008210568390938601;0.057912898416454195;0.023059272419169607;0.0;0.0005467587555326309;0.00035320278168524816;0.00022868674746147647;0.08977196988267344;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1986 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"2.5. Outra Formação não Florestal";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"3.2.2. Lavoura Perene";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.24959902553028193;0.004091833362534816;0.004400867833368479;0.0007830617706985478;0.00113549510326523;0.03362816988274175;0.0026126893826919897;0.0;0.00020207995432952721;0.00029697909294920373;0.001411600212300645;0.298161802125162;0.298161802125162;-0.017444267844318666;0.8371260964726323;0.014605573071711609;0.16287390352736775;0.017444267844318573
"1.1.2. Formação Savânica";0.005094851954498973;0.0038683210377664446;0.00045391573747073785;0.00037168352012998144;0.0001496195506397093;0.01007973854475134;0.0001716229375567193;0.0;0.00018745399188565444;1.8009622797886765e-05;0.0003671145918268492;0.020762331489324295;0.020762331489324295;-0.00770180578643557;0.18631438573049858;0.013877751197664122;0.8136856142695015;0.00770180578643557
"1.2. Floresta Plantada";0.001770935038112036;0.0;0.00943307424863099;0.0;0.0;0.0004732742163231426;0.0;0.0;0.0;0.0;0.0;0.011677283503066169;0.011677283503066169;0.004664614208816632;0.8078140987288777;0.04527594337530627;0.19218590127112234;0.004664614208816635
"2.2. Formação Campestre (Campo)";4.35080052017138e-05;0.0;0.0;0.001885038531134397;2.1811133971358694e-05;0.015742073089857485;0.00010904414184012239;0.0;0.0;0.0;4.3610739926046294e-05;0.017845085641931123;0.017845085641931123;-0.011378686023589454;0.10563348189851589;0.010895508607677813;0.8943665181014842;0.011378686023589444
"2.5. Outra Formação não Florestal";8.439929498929404e-05;0.0;0.0;9.739434973985751e-05;0.0010181995485136377;0.0004093351965184223;0.0;0.0;0.0;0.0;0.0;0.0016093283897612115;0.0016093283897612115;0.005194946804100645;0.6326860042932045;0.08159786333758064;0.36731399570679546;0.005194946804100645
"3.1. Pastagem";0.006030989457919885;0.0033528638187814356;0.0003201894967753142;0.0019494056459285034;0.0013510246028302392;0.36962859477710724;0.009402400823126753;0.0;0.0015006052377402948;8.839792643235584e-05;0.00426529064092499;0.3978897624275671;0.3978897624275671;0.05340018220108329;0.9289723679291576;0.01369765464820897;0.0710276320708424;0.05340018220108311
"3.2.1. Lavoura Temporária";0.0004520396647355035;0.0;8.177912460341079e-05;5.9964498919850336e-05;0.0;0.020772318604556982;0.07113480423044871;0.0;0.00010791352723538352;0.0;0.00018598909091911087;0.09279480874141896;0.09279480874141896;-0.009364247225754673;0.7665817214912549;0.025839598068046893;0.23341827850874508;0.009364247225754671
"3.3 Mosaico de Agricultura ou Pastagem";0.01750658214822315;0.001747507483806028;0.001652071271033869;0.001282453541278032;0.002989169076334417;0.0;0.0;0.10377368225570642;0.003991942635742504;0.0004568507990127725;0.0;0.1334002592111372;0.1334002592111372;-0.029626576955430767;0.777912148517344;0.02095131234775229;0.22208785148265597;0.02962657695543079
"4.1. Infraestrutura Urbana";1.8477940685185193e-05;0.0;0.0;0.0;8.025610931580619e-05;0.00028974419393360386;0.0;0.0;0.011211123888408529;0.0;0.0;0.011599602132343125;0.011599602132343125;0.00560151710299877;0.9665093475187909;0.05943625967128256;0.03349065248120908;0.005601517102998768
