"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Caatinga  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"3.2.2. Lavoura Perene";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"3.2.2. Lavoura Perene";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.006658517297329605;0.0391080231098272;0.0007243238734594448;0.003722673232015643;0.0;0.0;6.147016249581173e-05;0.0005716289859692314;0.0004680182872566355;0.05131465494835357;0.05131465494835357;-0.031039384955281343;0.12975859048513866;0.006891488999450168;0.8702414095148614;0.031039384955281343
"1.1.2. Formação Savânica";0.013293691272407832;0.5485240899853189;0.009881696321633686;0.05374526360978334;8.561723993446168e-05;0.0;0.0;0.0009306743925214522;0.001345129502755515;0.6278061623243554;0.6278061623243554;0.040193218921816445;0.8737156831250156;0.010176409838916751;0.12628431687498443;0.040193218921816376
"2.2. Formação Campestre (Campo)";0.0;0.024480902821268902;0.006707494325654258;0.00627200829172108;0.0;0.0;9.829476938624809e-05;0.0;0.0001093779480379732;0.037668078156068464;0.037668078156068464;-0.0010877005294321132;0.17806839780525557;0.010239141795252852;0.8219316021947445;0.0010877005294321063
"3.1. Pastagem";0.0002614558333316783;0.0152490695194457;0.003584932959261603;0.13116116492189403;6.147016249581173e-05;0.0;0.00012481179834381102;0.0;0.0008228698488912523;0.15126577504366387;0.15126577504366387;0.051920389199100865;0.867090820008911;0.02423245950235741;0.13290917999108898;0.0519203891991008
"3.2.1. Lavoura Temporária";0.0;0.0004966909725592976;0.00010165194872893181;0.007837400402292688;0.0001093779480379732;0.0;0.0;0.0;0.00048146318701299126;0.009026584458631883;0.009026584458631883;-0.008770119108163634;0.012117312870581742;0.002176135018803441;0.9878826871294183;0.008770119108163636
"3.3 Mosaico de Agricultura ou Pastagem";0.0;0.04001073059189782;0.015334272560377386;0.0;0.0;0.05349414250709403;0.0004681306617387997;0.0005826716687619306;0.0;0.10988994798986995;0.10988994798986995;-0.056395805482775965;0.48679741400938026;0.016157899188723457;0.5132025859906197;0.056395805482775924
"4.1. Infraestrutura Urbana";6.160559000311293e-05;0.0;0.0;6.147016249581173e-05;0.0;0.0;0.0012340778671728143;0.0;0.0;0.001357153619671739;0.001357153619671739;0.0006296316394657458;0.9093133225929917;0.05679074813260522;0.09068667740700831;0.0006296316394657458
"5.1. Rio, Lago e Oceano";0.0;4.940340525963228e-05;0.0002460056375210489;9.911755616764532e-05;0.0;0.0;0.0;0.010773757197233448;0.0;0.011168283796181774;0.011168283796181774;0.0016904484483042878;0.9646743755667092;0.05433795748121286;0.03532562443329079;0.0016904484483042884
"3.2.2. Lavoura Perene";0.0;8.047084059422505e-05;0.0;0.0002870660663944333;0.0;0.0;0.0;0.0;0.00013582275621779532;0.0005033596632064536;0.0005033596632064536;0.002859321866965708;0.2698324203266312;0.049611210246017313;0.7301675796733689;0.002859321866965709
