"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Cerrado  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"adj population";0.5559258439896102;0.09665212748555731;0.33800054878908903;0.0028814733132665206;0.0065400064224769875;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";2.2408767605676343e-17;3.6555045459882305e-17;2.3621107856326952e-17;2.0936724934070998e-16;1.468319253321141e-16;4.3878409559470967e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8837582310532246;0.5146189685541075;0.8067042944838109;0.47193903335301113;0.8173473226403912;0.8204148893518121;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.007816151571718126;0.013190945846311766;0.010273688092876751;0.0266672489728099;0.04266933837216435;0.009448544565581432;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9921838484282819;0.9868090541536882;0.9897263119071232;0.9733327510271901;0.9573306616278356;0.17958511064818794;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.1292436070171631;0.09382621866075946;0.0812075706178188;0.000101687940639166;0.0004924513646816786;0.15243576780053109;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1988 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.48136269581760244;0.03385578129694556;0.054456214816196474;0.0002526862921770391;0.0007955443528284836;0.57072292257575;0.57072292257575;-0.029973532711017915;0.843426252523986;0.007416919380521214;0.15657374747601405;0.02997353271101788
"2. Formação Natural não Florestal";0.036735098743461043;0.049773823877491394;0.015470407936875367;4.5991050290628474e-05;0.0003522477658291115;0.10237756937394756;0.10237756937394756;-0.0067374537963948225;0.4861789958666238;0.012317421738428121;0.5138210041333762;0.006737453796394843
"3. Agropecuária";0.022482881086024576;0.01193318049145388;0.28403644556639607;0.0012674401830066817;0.0;0.3197199473268812;0.3197199473268812;0.03442990049470601;0.8883913810857642;0.01115110231814901;0.11160861891423579;0.03442990049470607
"4. Área não Vegetada";0.0;0.0;5.080648082200565e-05;0.0013588770309056748;0.0;0.0014096835117276805;0.0014096835117276805;0.0015153110446523433;0.9639589451112057;0.055292237996836226;0.03604105488879428;0.0015153110446523433
"5. Corpo D'água";0.0001687142176439969;7.732991166186906e-05;0.00013597302129734118;0.0;0.00538786006109733;0.005769877211700537;0.005769877211700537;0.000765774968054388;0.9337911126031367;0.04988653200927703;0.06620888739686326;0.0007657749680543878
"total";0.5407493898647321;0.09564011557755271;0.35414984782158726;0.002924994556380024;0.006535652179754925;1.0000000000000002;1.0000000000000002;0;0.821919702353492;0.009425047170130907;0.178080297646508;0.03671098650741276
"adj population";0.5407493898647281;0.09564011557755273;0.35414984782158443;0.002924994556380024;0.0065356521797549205;1.0000000000000002;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";2.2298641505225458e-17;3.6621713591748854e-17;2.3318404266058207e-17;2.0872967002545016e-16;1.4638513490377224e-16;4.3735356429225495e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8901770484438537;0.5204283116652112;0.8020233449584504;0.4645742085029459;0.8243798649179895;0.821919702353492;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.008049500060531843;0.013329155669391475;0.009926697908976753;0.02608963844792251;0.042845621631094;0.009499438919899808;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9919504999394682;0.9866708443306085;0.9900733020910233;0.9739103615520774;0.957154378368906;0.178080297646508;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.1187733880942593;0.09173258340012264;0.07136700352097025;0.00010161296164401144;0.0007640343012064142;0.1413693111391013;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1989 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.47160967497333245;0.03325748781816872;0.057688602304675735;0.0002736870597987635;0.0007929453076211847;0.5636223974635969;0.5636223974635969;-0.03596661352304785;0.8367475762064478;0.007459714813645791;0.1632524237935522;0.03596661352304786
"2. Formação Natural não Florestal";0.03588575705571419;0.048642516461157886;0.015879970751175494;4.584079742488754e-05;0.00035109697157822544;0.10080518203705068;0.10080518203705068;-0.007316150248439589;0.4825398404943061;0.012365138187819345;0.5174601595056939;0.007316150248439568
"3. Agropecuária";0.020017510517172987;0.011488852589505756;0.2956754417485001;0.001199414888941586;2.286344538810953e-05;0.32840408318950853;0.32840408318950853;0.041004787049080255;0.9003403333991974;0.011011689439182659;0.09965966660080261;0.04100478704908034
"4. Área não Vegetada";0.0;0.0;7.246679024587746e-05;0.0014825962954538795;0.0;0.001555063085699757;0.001555063085699757;0.0014464759559193593;0.9533994531075449;0.05212029237618965;0.046600546892455075;0.0014464759559193593
"5. Corpo D'água";0.0001428413943292978;0.00010017491977873818;9.238864399166446e-05;0.0;0.005277869266050725;0.005613274224150425;0.005613274224150425;0.0008315007664878195;0.9402478937058405;0.051075090946674354;0.0597521062941595;0.0008315007664878192
"total";0.527655783940549;0.09348903178861111;0.36940887023858887;0.0030015390416191163;0.0064447749906382445;1.0000000000000002;1.0000000000000002;0;0.8226880987444942;0.009434964962437736;0.17731190125550578;0.04328276377148747
"adj population";0.527655783940545;0.09348903178861112;0.3694088702385867;0.0030015390416191163;0.006444774990638241;1.0000000000000002;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";2.2129709306472844e-17;3.674210963484232e-17;2.297518928550588e-17;2.0365927383066726e-16;1.4629542629138556e-16;4.318017083488739e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8937828207839152;0.5203018528541825;0.8004015755158581;0.4939453643268704;0.8189377090305585;0.8226880987444942;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.008240626907967593;0.01348327466920624;0.009609763807187588;0.026961687233839134;0.043414883890016735;0.009519410451498202;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9917593730920324;0.9865167253307937;0.9903902361928124;0.9730383127661608;0.9565851161099833;0.17731190125550578;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.11209221793443314;0.08969303065490644;0.06545728288201691;0.0001449335804917548;0.0006708099161994007;0.1340291374840238;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1990 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.4635062721556679;0.03298616321219687;0.0604571377386537;0.00027340269301728094;0.0008352317909812355;0.5580582075905169;0.5580582075905169;-0.041726487023479746;0.8305697610951931;0.00750060094796956;0.1694302389048069;0.04172648702347981
"2. Formação Natural não Florestal";0.034425054634668995;0.04849503870118983;0.016452738957539327;4.579316784373784e-05;0.00035073217422218906;0.09976935763546409;0.09976935763546409;-0.00665298396879882;0.4860714737522954;0.012458387116231926;0.5139285262477046;0.006652983968798806
"3. Agropecuária";0.01825770079767263;0.011558174563571109;0.3038130423833586;0.0012386875429351348;4.5679379546543826e-05;0.33491328466708403;0.33491328466708403;0.04592817320046999;0.9071394187464363;0.010912695096747133;0.09286058125356367;0.0459281732004701
"4. Área não Vegetada";0.0;0.0;7.23914956816341e-05;0.0015562430544165254;0.0;0.0016286345500981596;0.0016286345500981596;0.0014854919081145194;0.9555508043979105;0.05078474102547947;0.044449195602089486;0.0014854919081145192
"5. Corpo D'água";0.0001426929790275376;7.699718970747166e-05;4.614729232090713e-05;0.0;0.005364678095787624;0.00563051555684354;0.00563051555684354;0.0009658058836940519;0.9527863020051852;0.05164754970556281;0.047213697994814785;0.0009658058836940521
"total";0.5163317205670371;0.09311637366666528;0.38084145786755413;0.003114126458212679;0.006596321440537592;1.0;1.0;0;0.8227352743904197;0.009457055875999897;0.1772647256095803;0.04837947099227864
"adj population";0.516331720567033;0.0931163736666653;0.3808414578675515;0.0031141264582126792;0.006596321440537588;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";2.2043126789059534e-17;3.668650031869071e-17;2.277053109803723e-17;1.9916919757826118e-16;1.4367166624665912e-16;4.2434102203070775e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8976908713775003;0.5208003360911659;0.7977415171249967;0.49973662768650556;0.8132833040577853;0.8227352743904197;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.00841274796630346;0.01350555419609271;0.009383709084919716;0.026540295704794884;0.042749469061690554;0.009539701387749231;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9915872520336966;0.9864944458039073;0.9906162909150803;0.9734597042952051;0.9572505309383095;0.1772647256095803;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.10565089682273843;0.0892426699309509;0.062200484567450864;0.00014478299136326837;0.0005316749221118324;0.12888525461730763;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1991 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.45867920928851424;0.032646040187390396;0.060514487772276165;0.00029397096008457776;0.0008317365981756512;0.552965444806441;0.552965444806441;-0.04218025214523071;0.8294898236345837;0.0075429740621985744;0.17051017636541632;0.04218025214523091
"2. Formação Natural não Florestal";0.03467986027375111;0.04770737000227769;0.01564250679698956;0.00013161855599725088;0.0003492644659940478;0.09851062009500966;0.09851062009500966;-0.007040966804315409;0.4842865668317368;0.0125418098000203;0.5157134331682631;0.007040966804315402
"3. Agropecuária";0.01724246701701186;0.011039568121304506;0.31170371804585517;0.0010310748681478597;4.548822513829619e-05;0.3410623162774577;0.3410623162774577;0.04691643907663645;0.9139201347365532;0.01081993873995772;0.0860798652634468;0.04691643907663662
"4. Área não Vegetada";0.0;0.0;7.208855913440969e-05;0.0016951332112100633;0.0;0.001767221770344473;0.001767221770344473;0.0013845758250952786;0.9592079724547771;0.04884287420750803;0.04079202754522293;0.0013845758250952789
"5. Corpo D'água";0.00018365608193291703;7.667497972166689e-05;4.5954179839008256e-05;0.0;0.005388111809258401;0.005694397050751993;0.005694397050751993;0.000920204047814403;0.9462128757858315;0.05136177767555873;0.053787124214168536;0.0009202040478144026
"total";0.5107851926612101;0.09146965329069426;0.3879787553540943;0.0031517975954397518;0.006614601098566396;0.9999999999999998;0.9999999999999998;0;0.8251735423571152;0.009475569382553712;0.17482645764288485;0.04922121894954631
"adj population";0.510785192661207;0.09146965329069429;0.38797875535409243;0.0031517975954397518;0.006614601098566391;0.9999999999999998;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";2.1861151561262787e-17;3.6635294505761515e-17;2.2525741495959107e-17;1.95897707817572e-16;1.419225696803675e-16;4.188424650609229e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8979884614484965;0.5215650031017587;0.8034040878381968;0.5378306061476488;0.8145784952060349;0.8251735423571152;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.008472668475813619;0.013680731944547914;0.009298924901598584;0.02814648618806561;0.042914351317560204;0.009559444059814178;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9915273315241864;0.9863192680554521;0.9907010750984014;0.9718535138119344;0.9570856486824398;0.17482645764288485;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.10421196674539179;0.08752456657683313;0.05871719646320506;0.00014417711826881932;0.0006125704829871848;0.125605238693343;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1992 "
