"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Pantanal  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.30864545743253297;0.02015862116344794;0.016063575443322715;0.0;0.34486765403930364;0.34486765403930364;0.025201454310795394;0.8949678342328894;0.04066483490760083;0.10503216576711061;0.025201454310795346
"2. Formação Natural não Florestal";0.050696080858390676;0.45542185820790776;0.02909905924323601;0.0;0.5352169983095344;0.5352169983095344;-0.03180311906972001;0.8509106766906559;0.02873376032309622;0.1490893233093441;0.03180311906971989
"3. Agropecuária";0.009437013260700112;0.013863744298462786;0.056479940235277054;0.0;0.07978069779443996;0.07978069779443996;0.02186187712739584;0.7079399127443236;0.05501172280103638;0.29206008725567645;0.021861877127395832
"5. Corpo D'água";0.0012905567984752306;0.013969655569995998;0.0;0.02487443748825155;0.04013464985672278;0.04013464985672278;-0.015260212368471226;0.6197746231012637;0.06183511413522092;0.38022537689873626;0.015260212368471228
"total";0.370069108350099;0.5034138792398145;0.10164257492183579;0.02487443748825155;1.0;1.0;0;0.8454216933639691;0.0362733874533616;0.1545783066360309;0.04706333143819115
"adj population";0.3700691083500988;0.5034138792398137;0.1016425749218358;0.024874437488251546;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0287533611012642e-15;9.823420601593307e-16;1.6724867411150995e-15;3.071045478283985e-15;6.75462764065968e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8340211340757006;0.9046668695261688;0.5556720722464059;1.0;0.8454216933639692;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.037423827238237166;0.03142119065293252;0.041910793155537356;0.10362078179168067;0.03650469544653532;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9625761727617629;0.9685788093470675;0.9580892068444626;0.8963792182083193;0.15457830663603078;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.07244439321354135;0.0959840420638135;0.046601515118325804;0.0;0.10751497519784033;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1997 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.3073303541170655;0.02010249710776683;0.017559480013343766;0.0;0.34499233123817613;0.34499233123817613;0.022482311541794517;0.8908324223151802;0.04043252168632628;0.10916757768481977;0.02248231154179442
"2. Formação Natural não Florestal";0.04991810063043133;0.4521506698117831;0.02885883312556574;0.0;0.5309276035677801;0.5309276035677801;-0.03191186517330833;0.8516239629911418;0.028984176552469244;0.14837603700885815;0.031911865173308185
"3. Agropecuária";0.008943204787502771;0.012730096671394396;0.06236284231083351;0.0;0.08403614376973068;0.08403614376973068;0.024745011680012346;0.7420954783660151;0.055254096985348715;0.2579045216339849;0.024745011680012335
"5. Corpo D'água";0.001282983244970962;0.014032474803527572;0.0;0.024728463375815406;0.04004392142431394;0.04004392142431394;-0.015315458048498534;0.6175335106116938;0.06171611534730848;0.3824664893883062;0.015315458048498536
"total";0.36747464277997055;0.49901573839447194;0.10878115544974301;0.024728463375815406;0.9999999999999999;0.9999999999999999;0;0.8465723296154972;0.036452105824500675;0.15342767038450278;0.04722732322180674
"adj population";0.3674746427799704;0.4990157383944712;0.10878115544974302;0.024728463375815402;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.018648992556281e-15;9.714002593853199e-16;1.6196989736383782e-15;3.041518040341333e-15;6.651266265921312e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8363307786139758;0.9060849889555145;0.5732871842829909;1.0;0.8465723296154972;NaN;NaN;NaN;NaN;NaN;NaN
