"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Amazônia  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"alloc dis";0.010820734703367751;0.000111331035122883;0.007038860350111503;3.680343480989129e-05;0.0006297462298949508;0.00931873787665349;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1987 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.8948442472017681;0.0006049238001163018;0.009958479155343479;1.529765709618175e-05;0.0007422639988039896;0.906165211813128;0.906165211813128;0.0012951059470412661;0.987506732256132;0.0019003843257863033;0.012493267743868053;0.0012951059470414084
"2. Formação Natural não Florestal";0.008486857128604853;0.027316143176625066;0.0016878805205787013;0.0;0.0005370075913006912;0.03802788841710931;0.03802788841710931;-0.009887759913965044;0.7183186948748681;0.021587845377856494;0.2816813051251319;0.009887759913965042
"3. Agropecuária";0.003972913125331337;0.0002190615264028965;0.03610542506755212;7.386675527677728e-05;0.0;0.04037126647456313;0.04037126647456313;0.0073881235108623254;0.8943347142775719;0.02179805128653212;0.10566528572242806;0.007388123510862321
"4. Área não Vegetada";1.0410847186533708e-05;0.0;7.6052419511487355e-06;0.00045007372472012663;0.0;0.0004680898138578091;0.0004680898138578091;7.114832323527656e-05;0.9615114693712279;0.09032146939499383;0.03848853062877211;7.114832323527653e-05
"5. Corpo D'água";0.00014588945727850612;0.0;0.0;0.0;0.01482165402408944;0.014967543481367947;0.014967543481367947;0.0011333821328261748;0.9902529458183895;0.036865675277121875;0.009747054181610482;0.0011333821328261742
"total";0.9074603177601694;0.028140128503144266;0.04775938998542545;0.0005392381370930856;0.01610092561419412;1.0000000000000002;1.0000000000000002;0;0.9735375431947545;0.004017084434888991;0.026462456805245504;0.009887759913965111
"adj population";0.9074603177601431;0.0281401285031443;0.04775938998542553;0.0005392381370930856;0.0161009256141941;1.0000000000000002;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.291765937170154e-18;1.0766828810921826e-17;8.2686710886909e-18;8.251338183345646e-17;1.6163461160882328e-17;1.2400410883112167e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.9860973859556292;0.9707184945361167;0.7559858925872023;0.8346474289566669;0.9205467051548321;0.9735375431947546;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.001904726906235463;0.031924110902081505;0.018080068960947326;0.07541311252436493;0.033608991268384916;0.0040721072258716445;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9980952730937646;0.9680758890979185;0.9819199310390527;0.9245868874756351;0.9663910087316151;0.026462456805245393;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.022641929222719792;0.0016479706530383997;0.008531682814022015;3.6032178275364926e-05;0.00029177891455701294;0.016574696891306293;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1988 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.8888649920675381;2.109541251618795e-05;0.009394554387277165;1.515973384643523e-05;0.0008740517599355314;0.8991698533611134;0.8991698533611134;-0.0035915851341588347;0.9885395831999305;0.0019829078900505;0.011460416800069484;0.0035915851341588034
"2. Formação Natural não Florestal";0.0016060321419260905;0.035343080240162576;0.0016789135516857663;0.0;0.0006424612906504976;0.03927048722442493;0.03927048722442493;-0.003856803124091044;0.8999908770721943;0.024329008276539745;0.10000912292780573;0.003856803124091042
"3. Agropecuária";0.004723372115550226;4.95084476551223e-05;0.04120419534688416;7.32007746712539e-05;0.00011636302467412565;0.04616663970943489;0.04616663970943489;0.006193170974300439;0.8925101676495513;0.020876356647727703;0.10748983235044873;0.00619317097430043
